sample,celltype,n,frac,group
HK1664,Endo_Peritubular,6,0.0008778346744696416,Control
HK1664,Fibroblast_1,1,0.0001463057790782736,Control
HK1664,GS_Stromal,8,0.0011704462326261888,Control
HK1664,IC_A,26,0.003803950256035113,Control
HK1664,IC_B,9,0.0013167520117044623,Control
HK1664,M_TAL,20,0.002926115581565472,Control
HK1664,Mac,72,0.010534016093635698,Control
HK1664,Macula_Densa,3,0.0004389173372348208,Control
HK1664,NK,1032,0.15098756400877836,Control
HK1664,Neural_Cells,1,0.0001463057790782736,Control
HK1664,Neutrophil,267,0.03906364301389905,Control
HK1664,PC,1,0.0001463057790782736,Control
HK1664,PEC,3,0.0004389173372348208,Control
HK1664,PT_S1,1315,0.19239209948792976,Control
HK1664,PT_S2,646,0.09451353328456474,Control
HK1664,PT_S3,864,0.1264081931236284,Control
HK1664,Plasma_Cells,2,0.0002926115581565472,Control
HK1664,Prolif_Lym,6,0.0008778346744696416,Control
HK1664,RBC,2,0.0002926115581565472,Control
HK1664,cDC,6,0.0008778346744696416,Control
HK1664,iPT,41,0.005998536942209217,Control
HK1664,pDC,1,0.0001463057790782736,Control
HK1770,Ascending_Thin_LOH,21,0.0017402834175851496,HKD
HK1770,B_Naive,2418,0.2003812049390901,HKD
HK1770,B_memory,83,0.0068782630314079725,HKD
HK1770,Baso/Mast,45,0.0037291787519681775,HKD
HK1770,CD14_Mono,145,0.012016242645230794,HKD
HK1770,CD16_Mono,330,0.027347310847766638,HKD
HK1770,CD4T,2121,0.17576862517610012,HKD
HK1770,CD8T,2200,0.18231540565177756,HKD
HK1770,CNT,105,0.008701417087925748,HKD
HK1770,C_TAL,40,0.0033148255573050467,HKD
HK1770,DCT1,19,0.0015745421397198973,HKD
HK1770,DCT2,99,0.008204193254329991,HKD
HK1770,Des-Thin_Limb,66,0.0054694621695533276,HKD
HK1770,Endo_GC,1027,0.08510814618380708,HKD
HK1770,Endo_Lymphatic,1,8.287063893262616e-05,HKD
HK1770,Endo_Peritubular,192,0.015911162675064226,HKD
HK1770,Fibroblast_1,42,0.0034805668351702993,HKD
HK1770,Fibroblast_2,5,0.00041435319466313084,HKD
HK1770,GS_Stromal,10,0.0008287063893262617,HKD
HK1770,IC_A,499,0.041352448827380456,HKD
HK1770,IC_B,2,0.00016574127786525233,HKD
HK1770,M_TAL,23,0.001906024695450402,HKD
HK1770,Mac,798,0.06613076986823568,HKD
HK1770,Macula_Densa,10,0.0008287063893262617,HKD
HK1770,MyoFib/VSMC,10,0.0008287063893262617,HKD
HK1770,NK,275,0.022789425706472195,HKD
HK1770,Neural_Cells,34,0.00281760172370929,HKD
HK1770,Neutrophil,136,0.01127040689483716,HKD
HK1770,PC,17,0.001408800861854645,HKD
HK1770,PEC,7,0.0005800944725283831,HKD
HK1770,PT_S1,660,0.054694621695533276,HKD
HK1770,PT_S2,246,0.020386177177426038,HKD
HK1770,PT_S3,253,0.020966271649954422,HKD
HK1770,Plasma_Cells,5,0.00041435319466313084,HKD
HK1770,Podo,4,0.00033148255573050466,HKD
HK1770,Prolif_Lym,6,0.0004972238335957571,HKD
HK1770,RBC,1,8.287063893262616e-05,HKD
HK1770,cDC,18,0.001491671500787271,HKD
HK1770,iPT,91,0.007541228142868982,HKD
HK1770,pDC,3,0.00024861191679787854,HKD
HK1997,Ascending_Thin_LOH,33,0.003136285877209656,Control
HK1997,B_Naive,2340,0.22239118038395742,Control
HK1997,B_memory,14,0.0013305455236647026,Control
HK1997,Baso/Mast,41,0.0038965976050180573,Control
HK1997,CD14_Mono,74,0.007032883482227714,Control
HK1997,CD16_Mono,179,0.01701197490971298,Control
HK1997,CD4T,2139,0.20328834822277134,Control
HK1997,CD8T,2298,0.2183995438129633,Control
HK1997,CNT,79,0.007508078312107964,Control
HK1997,C_TAL,73,0.006937844516251663,Control
HK1997,DCT1,28,0.002661091047329405,Control
HK1997,DCT2,115,0.010929481087245771,Control
HK1997,Des-Thin_Limb,49,0.004656909332826459,Control
HK1997,Endo_GC,684,0.06500665272761832,Control
HK1997,Endo_Lymphatic,1,9.503896597605019e-05,Control
HK1997,Endo_Peritubular,177,0.016821896977760882,Control
HK1997,Fibroblast_1,68,0.006462649686371412,Control
HK1997,Fibroblast_2,3,0.00028511689792815053,Control
HK1997,GS_Stromal,21,0.001995818285497054,Control
HK1997,IC_A,204,0.019387949059114236,Control
HK1997,IC_B,19,0.0018057403535449534,Control
HK1997,M_TAL,23,0.0021858962174491543,Control
HK1997,Mac,637,0.060539821326743966,Control
HK1997,Macula_Densa,16,0.001520623455616803,Control
HK1997,MyoFib/VSMC,11,0.001045428625736552,Control
HK1997,NK,271,0.0257555597795096,Control
HK1997,Neural_Cells,40,0.0038015586390420073,Control
HK1997,Neutrophil,100,0.009503896597605019,Control
HK1997,PC,19,0.0018057403535449534,Control
HK1997,PEC,4,0.00038015586390420075,Control
HK1997,PT_S1,323,0.03069758601026421,Control
HK1997,PT_S2,119,0.011309636951149971,Control
HK1997,PT_S3,189,0.017962364569473484,Control
HK1997,Plasma_Cells,2,0.00019007793195210037,Control
HK1997,Podo,13,0.0012355065576886524,Control
HK1997,Prolif_Lym,4,0.00038015586390420075,Control
HK1997,RBC,1,9.503896597605019e-05,Control
HK1997,cDC,7,0.0006652727618323513,Control
HK1997,iPT,92,0.008743584869796617,Control
HK1997,pDC,12,0.0011404675917126021,Control
HK2558,Ascending_Thin_LOH,41,0.0038321338442845127,HKD
HK2558,B_Naive,25,0.002336666978222264,HKD
HK2558,B_memory,45,0.0042060005608000745,HKD
HK2558,CD16_Mono,32,0.0029909337321244976,HKD
HK2558,CD4T,158,0.014767735302364707,HKD
HK2558,CD8T,144,0.01345920179456024,HKD
HK2558,CNT,699,0.06533320871109449,HKD
HK2558,C_TAL,1211,0.11318814842508645,HKD
HK2558,Des-Thin_Limb,6,0.0005608000747733433,HKD
HK2558,Endo_GC,837,0.0782316104308814,HKD
HK2558,Endo_Lymphatic,68,0.006355734180764557,HKD
HK2558,Endo_Peritubular,1073,0.10028974670529955,HKD
HK2558,Fibroblast_1,314,0.029348537246471632,HKD
HK2558,Fibroblast_2,142,0.013272268436302458,HKD
HK2558,GS_Stromal,8,0.0007477334330311244,HKD
HK2558,IC_A,409,0.03822787176371623,HKD
HK2558,IC_B,3,0.00028040003738667165,HKD
HK2558,M_TAL,3067,0.2866623048883073,HKD
HK2558,Mac,105,0.009814001308533507,HKD
HK2558,Macula_Densa,30,0.0028040003738667163,HKD
HK2558,Mes,88,0.008225067763342368,HKD
HK2558,MyoFib/VSMC,267,0.024955603327413776,HKD
HK2558,NK,5,0.00046733339564445275,HKD
HK2558,Neural_Cells,7,0.0006542667539022339,HKD
HK2558,Neutrophil,17,0.0015889335451911393,HKD
HK2558,PC,700,0.06542667539022338,HKD
HK2558,PEC,10,0.0009346667912889055,HKD
HK2558,PT_S1,1,9.346667912889055e-05,HKD
HK2558,PT_S2,3,0.00028040003738667165,HKD
HK2558,PT_S3,54,0.0050472006729600895,HKD
HK2558,Plasma_Cells,2,0.0001869333582577811,HKD
HK2558,RBC,2,0.0001869333582577811,HKD
HK2558,iPT,1126,0.10524348069913075,HKD
HK2596,Ascending_Thin_LOH,52,0.005879692446856626,DKD
HK2596,B_Naive,24,0.0027137042062415195,DKD
HK2596,B_memory,23,0.002600633197648123,DKD
HK2596,CD14_Mono,1,0.00011307100859339665,DKD
HK2596,CD16_Mono,56,0.006331976481230212,DKD
HK2596,CD4T,372,0.04206241519674356,DKD
HK2596,CD8T,159,0.01797829036635007,DKD
HK2596,CNT,632,0.07146087743102668,DKD
HK2596,C_TAL,1782,0.20149253731343283,DKD
HK2596,DCT2,26,0.002939846223428313,DKD
HK2596,Des-Thin_Limb,5,0.0005653550429669833,DKD
HK2596,Endo_GC,552,0.06241519674355495,DKD
HK2596,Endo_Lymphatic,24,0.0027137042062415195,DKD
HK2596,Endo_Peritubular,999,0.11295793758480326,DKD
HK2596,Fibroblast_1,823,0.09305744007236545,DKD
HK2596,Fibroblast_2,127,0.014360018091361375,DKD
HK2596,GS_Stromal,83,0.009384893713251923,DKD
HK2596,IC_A,19,0.0021483491632745366,DKD
HK2596,IC_B,4,0.0004522840343735866,DKD
HK2596,M_TAL,135,0.015264586160108548,DKD
HK2596,Mac,468,0.052917232021709636,DKD
HK2596,Macula_Densa,480,0.054274084124830396,DKD
HK2596,Mes,2,0.0002261420171867933,DKD
HK2596,MyoFib/VSMC,172,0.019448213478064226,DKD
HK2596,NK,2,0.0002261420171867933,DKD
HK2596,Neural_Cells,33,0.0037313432835820895,DKD
HK2596,Neutrophil,7,0.0007914970601537765,DKD
HK2596,PC,10,0.0011307100859339666,DKD
HK2596,PEC,3,0.00033921302578018993,DKD
HK2596,PT_S1,1,0.00011307100859339665,DKD
HK2596,PT_S2,1,0.00011307100859339665,DKD
HK2596,PT_S3,9,0.0010176390773405698,DKD
HK2596,Plasma_Cells,35,0.003957485300768883,DKD
HK2596,Podo,3,0.00033921302578018993,DKD
HK2596,cDC,1,0.00011307100859339665,DKD
HK2596,iPT,1719,0.19436906377204885,DKD
HK2662,Ascending_Thin_LOH,1,0.0008103727714748784,Control
HK2662,B_Naive,3,0.0024311183144246355,Control
HK2662,B_memory,1,0.0008103727714748784,Control
HK2662,Baso/Mast,5,0.004051863857374392,Control
HK2662,CD16_Mono,4,0.0032414910858995136,Control
HK2662,CD4T,29,0.023500810372771474,Control
HK2662,CD8T,12,0.009724473257698542,Control
HK2662,CNT,5,0.004051863857374392,Control
HK2662,C_TAL,37,0.029983792544570502,Control
HK2662,DCT1,2,0.0016207455429497568,Control
HK2662,DCT2,5,0.004051863857374392,Control
HK2662,Des-Thin_Limb,3,0.0024311183144246355,Control
HK2662,Endo_GC,29,0.023500810372771474,Control
HK2662,Endo_Peritubular,102,0.08265802269043761,Control
HK2662,Fibroblast_1,40,0.03241491085899514,Control
HK2662,Fibroblast_2,6,0.004862236628849271,Control
HK2662,IC_A,2,0.0016207455429497568,Control
HK2662,IC_B,5,0.004051863857374392,Control
HK2662,M_TAL,17,0.013776337115072933,Control
HK2662,Mac,22,0.017828200972447326,Control
HK2662,Macula_Densa,27,0.02188006482982172,Control
HK2662,MyoFib/VSMC,2,0.0016207455429497568,Control
HK2662,NK,105,0.08508914100486224,Control
HK2662,Neutrophil,19,0.01539708265802269,Control
HK2662,PEC,6,0.004862236628849271,Control
HK2662,PT_S1,4,0.0032414910858995136,Control
HK2662,PT_S3,3,0.0024311183144246355,Control
HK2662,Plasma_Cells,1,0.0008103727714748784,Control
HK2662,Podo,691,0.559967585089141,Control
HK2662,Prolif_Lym,4,0.0032414910858995136,Control
HK2662,iPT,27,0.02188006482982172,Control
