celltype,sample,n_cells,group,_lib,SLC5A10,CYFIP2,RELB,ACAT1,ARMC7,PAX8,ENPEP,IL1RL1,DCN,ALDH8A1,SLC2A9,SLC9A3,UMOD,PPARA,AMN,ACTA2,KCNJ15,PEPD,TNF,EFHD1,SOST,SLC17A3,ALDOB,MME,LGALS2,BDH2,FN1,BICC1,ICAM1,HAVCR1,TDGF1,TM7SF3,CD24,VCAM1,VIM,HOXA9,RGL3,COL1A1,JUN,DPEP1,TCN2,OCIAD2,SOX9,TWIST1,SNAI1,BCAM,CRB2,CCL2,CUBN,FOS,ACSF2,SHMT1,AOC1,HNF4A,PROM1,ACY1
CD8T,HK1593,565,HKD,701828.0,0.8857698866874368,4.197850226599951,1.9020182884923935,3.8414978977036482,2.813811988138093,0.8857698866874368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094853744403309,1.3479955001833739,3.107844057919706,0.0,3.900859284902773,4.828009662168776,1.3479955001833739,0.8857698866874368,1.3479955001833739,1.6628936709219457,0.0,0.0,2.626381240584668,0.0,0.0,2.517600037754248,0.0,0.0,2.7244814872199075,2.094853744403309,1.6628936709219457,6.073400604539518,0.8857698866874368,0.0,0.8857698866874368,8.539055267567573,0.0,0.0,4.612538347518938,0.0,0.0,0.0,0.8857698866874368,0.0,0.0,1.9020182884923935,6.9203198911637775,2.256447244227126,1.3479955001833739,0.0,0.0,0.0,2.517600037754248
CD8T,HK1594,435,HKD,520821.0,0.0,3.7213697514435564,3.0057051124096197,2.905829950900727,1.911043067370533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0715991869386419,1.0715991869386419,1.0715991869386419,2.7948615640211663,0.0,4.002983248268098,4.037444677318717,0.0,1.0715991869386419,1.0715991869386419,2.5273491545767373,1.0715991869386419,0.0,2.7948615640211663,0.0,0.0,2.3608754474336378,0.0,0.0,2.6700241738545145,1.5769335084349638,0.0,5.625772453457989,0.0,0.0,0.0,7.444155350022935,1.0715991869386419,1.0715991869386419,4.738675050432566,0.0,0.0,0.0,1.0715991869386419,0.0,0.0,1.0715991869386419,7.004143107374329,1.0715991869386419,1.5769335084349638,0.0,0.0,0.0,2.5273491545767373
NK,HK2893,40,Control,167420.0,0.0,4.97225509887069,3.8874027232764585,4.1064381443109905,1.9420458394794293,2.9401670301329883,0.0,0.0,0.0,0.0,3.4296231848302035,1.9420458394794293,3.8874027232764585,3.606530251867369,0.0,3.2145467930480223,0.0,3.8874027232764585,1.9420458394794293,2.5607871738604375,0.0,0.0,2.5607871738604375,0.0,2.5607871738604375,2.9401670301329883,0.0,4.570247759878049,2.9401670301329883,0.0,0.0,2.9401670301329883,2.9401670301329883,0.0,6.023779596259822,0.0,0.0,0.0,6.321647743512201,0.0,0.0,3.756795410970475,0.0,0.0,0.0,1.9420458394794293,0.0,1.9420458394794293,0.0,5.8843806635522915,0.0,0.0,0.0,0.0,0.0,3.606530251867369
NK,HK2774,151,HKD,1022174.0,0.0,4.6604047891718245,2.8125851153750787,3.4444968686363793,2.282868306497842,1.0840447082630753,0.6822414386153524,0.6822414386153524,2.1777535932965355,1.0840447082630753,1.369890820780354,0.0,0.0,3.0236460537169982,0.0,2.3779773302520297,1.5919311759929498,2.7520419061083548,5.487546374184942,0.6822414386153524,1.0840447082630753,0.6822414386153524,0.0,0.6822414386153524,0.6822414386153524,3.0236460537169982,2.4648210462845364,2.1777535932965355,4.1979020085631795,1.5919311759929498,0.0,3.807191592128714,3.562202961591625,2.6875956445153126,5.641105738534681,2.5447218650351564,0.0,1.7735165920042402,8.654829810120583,0.0,1.0840447082630753,4.0215084780376955,1.0840447082630753,0.6822414386153524,3.890534655426947,0.0,0.6822414386153524,1.369890820780354,1.5919311759929498,8.070314458122299,1.9271411250113983,0.6822414386153524,0.0,0.0,1.9271411250113983,1.9271411250113983
NK,HK2895,28,Control,142589.0,0.0,5.248892956936233,2.081085652922997,4.1607325185765065,2.081085652922997,3.763035227349944,2.081085652922997,0.0,0.0,0.0,0.0,0.0,0.0,4.523646938438913,2.7098038237109603,2.081085652922997,2.7098038237109603,4.044897101239703,2.081085652922997,4.523646938438913,0.0,0.0,5.688847757379626,3.369109867525758,2.081085652922997,3.369109867525758,0.0,6.728109915528606,2.081085652922997,0.0,0.0,4.044897101239703,3.585345561979854,0.0,4.7292499717268255,2.081085652922997,4.5969796541308074,0.0,5.353728001473814,2.7098038237109603,0.0,3.585345561979854,0.0,0.0,0.0,2.081085652922997,0.0,0.0,3.585345561979854,6.564320206332174,3.369109867525758,3.763035227349944,0.0,0.0,2.081085652922997,3.092835895308607
NK,HK2867,101,Control,191839.0,0.0,5.369338954604024,1.82659629280043,3.0842383401863933,2.4358397178769065,3.0842383401863933,2.811696040112752,0.0,0.0,0.0,1.82659629280043,0.0,5.058670456467306,3.7542372151774606,1.82659629280043,1.82659629280043,1.82659629280043,3.8694148255561758,4.916546674088548,4.371857176164588,0.0,2.4358397178769065,5.058670456467306,3.624045711328072,2.4358397178769065,2.4358397178769065,0.0,6.174970412938911,1.82659629280043,2.4358397178769065,0.0,3.7542372151774606,3.624045711328072,1.82659629280043,4.954015691910961,3.0842383401863933,4.230697181210291,0.0,7.80848414196485,2.4358397178769065,2.4358397178769065,4.066283652378265,0.0,0.0,2.4358397178769065,1.82659629280043,0.0,0.0,4.303765881477234,6.629154695970713,1.82659629280043,3.7542372151774606,0.0,2.4358397178769065,0.0,3.0842383401863933
NK,HK2891,220,HKD,768090.0,1.2820059168780904,4.354320271695264,4.019640628971837,3.196006452496425,2.17606728528823,2.17606728528823,0.8337482330975965,1.2820059168780904,0.0,0.0,0.0,0.0,5.041021133355161,1.825794170624212,1.2820059168780904,1.5904166069795682,1.2820059168780904,3.55105887166275,3.2972660393028117,2.17606728528823,0.0,0.8337482330975965,2.016189368390011,1.825794170624212,0.0,3.5129852699273107,2.016189368390011,0.0,3.946913197116326,0.0,0.0,3.4321922899573583,3.9717480327614596,1.5904166069795682,5.421569959333597,1.5904166069795682,2.17606728528823,0.8337482330975965,7.249275626984168,2.016189368390011,2.17606728528823,4.087435488604111,0.0,0.8337482330975965,0.8337482330975965,2.434967359951903,0.0,3.02183664279707,2.17606728528823,7.256650508613678,2.17606728528823,2.313872682116111,1.5904166069795682,0.8337482330975965,1.2820059168780904,2.313872682116111
NK,HK2770,149,HKD,710759.0,0.0,4.756771556153918,2.801929857756308,4.556666954855885,2.50598079413576,0.0,2.2451339251916287,0.0,1.6526583037564313,2.384038492160685,2.384038492160685,0.0,0.0,2.8838706660277773,1.8912709073933713,1.8912709073933713,3.030000996685855,4.430934087767663,5.011543853189561,2.712670616146885,0.0,1.3386505353299338,6.851249695562837,2.712670616146885,2.9596027189431164,3.91687388178196,0.0,2.50598079413576,2.384038492160685,0.8783589975380676,0.0,3.9713673042058377,3.3225864946455173,0.8783589975380676,5.237100817925384,1.6526583037564313,0.0,0.0,7.508236538070887,2.6146563119376083,0.8783589975380676,4.141636032020723,0.8783589975380676,0.0,2.384038492160685,0.0,0.0,0.0,2.384038492160685,7.342404027899103,2.6146563119376083,3.3225864946455173,0.8783589975380676,1.6526583037564313,0.0,3.9975394375848725
NK,HK2896,34,Control,162347.0,0.0,4.3953795126605515,0.0,3.786856979755799,2.5892134650754492,0.0,2.5892134650754492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9684604961140506,1.9684604961140506,4.230565498701378,4.230565498701378,1.9684604961140506,0.0,0.0,5.713147284824579,1.9684604961140506,0.0,3.786856979755799,0.0,1.9684604961140506,1.9684604961140506,0.0,0.0,3.4594105802437385,2.5892134650754492,1.9684604961140506,5.979435802512792,0.0,0.0,0.0,5.119850972000562,0.0,0.0,3.9175510093692396,0.0,0.0,1.9684604961140506,0.0,0.0,0.0,1.9684604961140506,6.110700162579529,1.9684604961140506,4.033121627773671,2.5892134650754492,2.5892134650754492,0.0,2.5892134650754492
NK,HK2923,54,Control,107587.0,0.0,4.6370838447402125,2.3316392315539707,3.3633019971901885,2.3316392315539707,0.0,0.0,0.0,0.0,2.3316392315539707,0.0,0.0,0.0,0.0,0.0,0.0,2.3316392315539707,4.038987225226692,2.3316392315539707,0.0,0.0,0.0,4.80264667926123,2.3316392315539707,2.9749991475780035,3.860182537735812,0.0,2.3316392315539707,2.9749991475780035,0.0,0.0,4.19061826145641,3.6422912078692495,0.0,4.723287737295556,0.0,0.0,0.0,7.528310613310254,3.3633019971901885,2.3316392315539707,3.6422912078692495,0.0,0.0,0.0,0.0,0.0,0.0,2.3316392315539707,7.693743034661233,2.3316392315539707,2.9749991475780035,0.0,0.0,0.0,4.038987225226692
