,Podo,PEC,Mes,Endo_GC,PT_S1,PT_S2,PT_S3,iPT,Des-Thin_Limb,Ascending_Thin_LOH,C_TAL,M_TAL,Macula_Densa,DCT1,DCT2,CNT,PC,IC_A,IC_B,Endo_Peritubular,Endo_Lymphatic,Fibroblast_1,Fibroblast_2,MyoFib/VSMC,GS_Stromal,Neural_Cells,Mac,CD14_Mono,CD16_Mono,cDC,pDC,Neutrophil,Baso/Mast,CD4T,CD8T,NK,Prolif_Lym,B_Naive,B_memory,Plasma_Cells,RBC
PEPD,0.17745952308177948,0.15548139810562134,0.1495002657175064,0.20089150965213776,1.1570364236831665,1.2945095300674438,1.3161011934280396,0.3073909878730774,0.47788751125335693,0.15391609072685242,0.11368076503276825,0.13465997576713562,0.08783955872058868,0.06587550044059753,0.10167196393013,0.10613740235567093,0.10878536105155945,0.17646658420562744,0.19355982542037964,0.18610072135925293,0.24756070971488953,0.17291638255119324,0.18832805752754211,0.1899370700120926,0.16026870906352997,0.14201341569423676,0.20394466817378998,0.12582442164421082,0.12474696338176727,0.3003080487251282,0.08682002872228622,0.14137402176856995,0.2194112241268158,0.1024416983127594,0.11368311941623688,0.11994656175374985,0.1531698852777481,0.0913960337638855,0.11860694736242294,0.09277807176113129,0.2540469169616699
TNF,0.0038822852075099945,0.0,0.002456837333738804,0.05410083383321762,0.0023685796186327934,0.0034654063638299704,0.004166894126683474,0.007806760724633932,0.02427271567285061,0.0761985033750534,0.006885944865643978,0.002845203038305044,0.001652497798204422,0.0007987925200723112,0.0023526495788246393,0.007817380130290985,0.020728329196572304,0.0027954373508691788,0.00035240885335952044,0.013629892840981483,0.025073839351534843,0.020322322845458984,0.012776144780218601,0.015923837199807167,0.11283258348703384,0.07953464239835739,0.28713950514793396,0.12357566505670547,0.2541951835155487,0.21872100234031677,0.08312541991472244,0.1460099071264267,0.059962332248687744,0.18124790489673615,0.20401059091091156,0.1628779023885727,0.11897900700569153,0.1510636806488037,0.03831438720226288,0.5263877511024475,0.062163617461919785
EFHD1,0.09275972843170166,0.2975462079048157,0.597619891166687,0.043918073177337646,0.3125966489315033,0.35461118817329407,0.4167666435241699,0.20181845128536224,0.38811278343200684,0.6314796209335327,1.2401249408721924,1.1634867191314697,1.3754082918167114,0.9802762269973755,0.5173344612121582,0.2597144842147827,0.2415637969970703,0.9217464923858643,0.9443097114562988,0.17087043821811676,0.06315478682518005,0.2421286553144455,0.3893420100212097,0.4078123867511749,0.2338540405035019,0.1624063104391098,0.031170453876256943,0.00863037258386612,0.015518877655267715,0.07804808765649796,0.004044682718813419,0.011251956224441528,0.006623821333050728,0.038380902260541916,0.025663021951913834,0.010179534554481506,0.0,0.010096393525600433,0.05046208202838898,0.008902780711650848,0.16070720553398132
SOST,0.7306671738624573,0.02938747964799404,0.006316028069704771,0.8463938236236572,0.005673314910382032,0.008732844144105911,0.007346659433096647,0.002290940610691905,0.016761135309934616,0.0047492594458162785,0.002937290584668517,0.0032524550333619118,0.0037438496947288513,0.002061275765299797,0.001425025169737637,0.002790735801681876,0.0026878402568399906,0.00287855532951653,0.0030145314522087574,0.06572377681732178,0.009074147790670395,0.003151904558762908,0.01284255925565958,0.009372559376060963,0.007907086052000523,0.003618885762989521,0.0028985249809920788,0.004748854320496321,0.004967954941093922,0.12855464220046997,0.0,0.007253977004438639,0.0,0.001939058187417686,0.005058426409959793,0.004024558234959841,0.0,0.004759170580655336,0.0025327885523438454,0.0,0.004071597475558519
SLC17A3,0.03866786137223244,0.09261223673820496,0.09406392276287079,0.04101961851119995,0.8858285546302795,0.8251032829284668,0.5877618193626404,0.5035862326622009,0.5441347360610962,0.027561258524656296,0.05029292032122612,0.014750347472727299,0.044967371970415115,0.023154133930802345,0.04704184830188751,0.05442525073885918,0.054973360151052475,0.041993048042058945,0.1671152114868164,0.1658523976802826,0.09021072089672089,0.10368575900793076,0.07896071672439575,0.021138666197657585,0.10903442651033401,0.1486375331878662,0.022555841132998466,0.005755322054028511,0.0073802839033305645,0.09442886710166931,0.0,0.010065627284348011,0.003789221867918968,0.015776319429278374,0.013499975204467773,0.004144976381212473,0.0,0.00887583289295435,0.06124730780720711,0.02171558514237404,0.03486684709787369
ALDOB,0.09723610430955887,0.08168826997280121,0.14930348098278046,0.2655714154243469,2.7938425540924072,2.9377830028533936,2.6342966556549072,0.199431374669075,1.240889310836792,0.03505238518118858,0.11619023978710175,0.07995925098657608,0.0699235051870346,0.03967948257923126,0.06806682795286179,0.05753717198967934,0.04689216986298561,0.12206543982028961,0.10826481133699417,0.287675142288208,0.05564241483807564,0.14660336077213287,0.11297979950904846,0.05142010375857353,0.1402774304151535,0.09904057532548904,0.13825319707393646,0.04538419097661972,0.047518182545900345,0.4992486238479614,0.04488362371921539,0.33334410190582275,0.046933576464653015,0.11119159311056137,0.10248801112174988,0.084284208714962,0.050017502158880234,0.03492109850049019,0.040008943527936935,0.043801382184028625,1.1856896877288818
MME,2.71366024017334,0.1702425330877304,0.14626160264015198,0.06364269554615021,1.7466189861297607,1.5549625158309937,1.1578651666641235,0.3324579894542694,1.025908350944519,0.0530891939997673,0.07622282952070236,0.05048077180981636,0.0751136839389801,0.031246673315763474,0.05273855850100517,0.07136154919862747,0.05565265193581581,0.07300085574388504,0.24356387555599213,0.31104210019111633,0.17190204560756683,0.22097709774971008,0.12317495048046112,0.036860063672065735,0.255131334066391,0.22152328491210938,0.04305828735232353,0.02295246161520481,0.018855376169085503,0.29493391513824463,0.0,0.22297713160514832,0.010325280018150806,0.025157179683446884,0.028730234131217003,0.008421200327575207,0.0,0.013977299444377422,0.13167805969715118,0.04725942760705948,0.10839292407035828
LGALS2,0.019358260557055473,0.023442935198545456,0.0158047117292881,0.035804133862257004,0.7244508862495422,0.680656909942627,0.6069633960723877,0.09204377233982086,0.1989123374223709,0.019080394878983498,0.01028609462082386,0.00413412693887949,0.009868483059108257,0.003974425606429577,0.0064066266641020775,0.007965411990880966,0.004881046246737242,0.009941034950315952,0.010671842843294144,0.022188706323504448,0.0,0.02589835599064827,0.02409311942756176,0.008366386406123638,0.05460266396403313,0.04924315586686134,0.30650269985198975,0.956076979637146,0.173776313662529,0.4527786672115326,0.012509136460721493,0.4972086548805237,0.011954360641539097,0.014740744605660439,0.013148865662515163,0.007448316551744938,0.00806435663253069,0.005991197656840086,0.016884947195649147,0.011258342303335667,0.13605116307735443
BDH2,0.14712221920490265,0.13128940761089325,0.14333103597164154,0.1604791283607483,0.6400723457336426,0.762158215045929,0.8196030259132385,0.17150656878948212,0.29384464025497437,0.28835415840148926,0.14789655804634094,0.14150850474834442,0.13192296028137207,0.07817502319812775,0.12842398881912231,0.09943508356809616,0.09576710313558578,0.19911548495292664,0.12540990114212036,0.12931358814239502,0.07730612903833389,0.13486014306545258,0.1719527691602707,0.15721924602985382,0.07092847675085068,0.08313041925430298,0.04952035844326019,0.016418250277638435,0.021947775036096573,0.1313949078321457,0.047092255204916,0.05091461166739464,0.0599575936794281,0.06128489598631859,0.06539284437894821,0.06942261755466461,0.09668559581041336,0.033345289528369904,0.0816049873828888,0.06284873187541962,0.1536390483379364
FN1,0.025190871208906174,0.05173904448747635,0.7531916499137878,0.3612764775753021,0.010101662948727608,0.007453995756804943,0.012073736637830734,0.04446135833859444,0.05370526388287544,0.024770613759756088,0.03430591896176338,0.06840763241052628,0.025683272629976273,0.012729042209684849,0.017560817301273346,0.019361203536391258,0.020384082570672035,0.0094624487683177,0.019614478573203087,0.40800029039382935,0.24720050394535065,0.3746030330657959,0.406324177980423,0.7066318392753601,0.1523168683052063,0.17178544402122498,0.06008167564868927,0.02291950024664402,0.021814201027154922,0.08565971255302429,0.022104959934949875,0.04122448340058327,0.009234856814146042,0.02776890993118286,0.013895129784941673,0.0042763883247971535,0.006558518391102552,0.015729650855064392,0.0781087651848793,0.05400208756327629,0.0022721057757735252
